episode, reward,, reward_tard, reward_setup 
1,-67.27,#N/A,-91.58,-30.8
2,-57.67,-67.27,-75.04,-31.6
3,-50.17,-66.31,-60.02,-35.4
4,-67.99,-64.696,-93.99,-29
5,-61.15,-65.0254,-82.59,-29
6,-55.82,-64.63786,-77.96,-22.6
7,-61.34,-63.756074,-87.04,-22.8
8,-67.21,-63.5144666,-91.09,-31.4
9,-60.36,-63.88401994,-85.14,-23.2
10,-73.17,-63.53161795,-98.62,-35
11,-64.8,-64.49545615,-86.94,-31.6
12,-55.96,-64.52591054,-73.13,-30.2
13,-70.69,-63.66931948,-99.01,-28.2
14,-64.86,-64.37138753,-91.44,-25
15,-68.64,-64.42024878,-92.4,-33
16,-68.82,-64.8422239,-96.84,-26.8
17,-60.51,-65.24000151,-82.85,-27
18,-63.25,-64.76700136,-84.49,-31.4
19,-53.54,-64.61530123,-67.23,-33
20,-71.16,-63.5077711,-96.33,-33.4
21,-61.41,-64.27299399,-84.09,-27.4
22,-63.11,-63.98669459,-88.92,-24.4
23,-60.32,-63.89902513,-79.6,-31.4
24,-68.59,-63.54112262,-96.72,-26.4
25,-70.07,-64.04601036,-99.19,-26.4
26,-67.94,-64.64840932,-94.57,-28
27,-60.91,-64.97756839,-88.71,-19.2
28,-61.85,-64.57081155,-83.48,-29.4
29,-57.17,-64.2987304,-81.96,-20
30,-56.48,-63.58585736,-82.4,-17.6
31,-66.62,-62.87527162,-88.1,-34.4
32,-67.5,-63.24974446,-91.83,-31
33,-52.12,-63.67477001,-65.66,-31.8
34,-68.94,-62.51929301,-93.69,-31.8
35,-59.38,-63.16136371,-81.76,-25.8
36,-66.73,-62.78322734,-97.36,-20.8
37,-57.6,-63.17790461,-79.33,-25
38,-62.43,-62.62011414,-85.66,-27.6
39,-62.05,-62.60110273,-86.21,-25.8
40,-66.15,-62.54599246,-91.99,-27.4
41,-62.13,-62.90639321,-94.36,-13.8
42,-54.82,-62.82875389,-78.3,-19.6
43,-58.57,-62.0278785,-91.22,-9.6
44,-60.92,-61.68209065,-81.27,-30.4
45,-56.76,-61.60588159,-82.34,-18.4
46,-66.1,-61.12129343,-94.83,-23
47,-69.04,-61.61916408,-96.66,-27.6
48,-63.41,-62.36124768,-97.94,-11.6
49,-69.95,-62.46612291,-94.84,-32.6
50,-56.78,-63.21451062,-85.17,-14.2
51,-59.94,-62.57105956,-86.84,-19.6
52,-58.96,-62.3079536,-86.26,-18
53,-55.76,-61.97315824,-79.87,-19.6
54,-59.05,-61.35184242,-89.08,-14
55,-58.7,-61.12165817,-91.83,-9
56,-59.24,-60.87949236,-88.46,-15.4
57,-60.74,-60.71554312,-90.57,-16
58,-52.16,-60.71798881,-72.66,-21.4
59,-54.63,-59.86218993,-80.51,-15.8
60,-64.58,-59.33897094,-90.7,-25.4
61,-71.43,-59.86307384,-98.52,-30.8
62,-54.49,-61.01976646,-82.55,-12.4
63,-58.05,-60.36678981,-89.56,-10.8
64,-62.61,-60.13511083,-93.95,-15.6
65,-55.66,-60.38259975,-84.77,-12
66,-57.92,-59.91033977,-74.4,-33.2
67,-60.72,-59.7113058,-89.87,-17
68,-61.39,-59.81217522,-83.78,-27.8
69,-53.19,-59.96995769,-74.51,-21.2
70,-58.14,-59.29196193,-83.16,-20.6
71,-62.19,-59.17676573,-94.71,-13.4
72,-64.49,-59.47808916,-96.68,-16.2
73,-61.8,-59.97928024,-93.41,-14.4
74,-59.75,-60.16135222,-78.52,-31.6
75,-55.94,-60.120217,-85.37,-11.8
76,-63.65,-59.7021953,-98.74,-11
77,-61.22,-60.09697577,-93.91,-12.2
78,-57.43,-60.20927819,-79.98,-23.6
79,-58.55,-59.93135037,-89.32,-12.4
80,-59.67,-59.79321533,-86.65,-19.2
81,-55.88,-59.7808938,-85,-12.2
82,-54.01,-59.39080442,-80.69,-14
83,-58.7,-58.85272398,-81.17,-25
84,-63.72,-58.83745158,-97,-13.8
85,-66.09,-59.32570642,-94.95,-22.8
86,-65.11,-60.00213578,-92.65,-23.8
87,-63.04,-60.5129222,-86.8,-27.4
88,-51.9,-60.76562998,-74.5,-18
89,-59.46,-59.87906698,-84.43,-22
90,-55.27,-59.83716029,-86.51,-8.4
91,-58.57,-59.38044426,-85.62,-18
92,-52.96,-59.29939983,-73.99,-21.4
93,-57.46,-58.66545985,-86.56,-13.8
94,-58.65,-58.54491386,-91.75,-9
95,-55.26,-58.55542248,-80.23,-17.8
96,-60.68,-58.22588023,-92.61,-12.8
97,-58.43,-58.47129221,-90.45,-10.4
98,-56.95,-58.46716299,-79.59,-23
99,-65.63,-58.31544669,-95.38,-21
100,-54.72,-59.04690202,-85.47,-8.6
101,-60.61,-58.61421182,-96.21,-7.2
102,-61.8,-58.81379063,-91.4,-17.4
103,-50.78,-59.11241157,-70.9,-20.6
104,-60.03,-58.27917041,-94.05,-9
105,-63.66,-58.45425337,-92.11,-21
106,-59.63,-58.97482804,-91.92,-11.2
107,-58.59,-59.04034523,-88.99,-13
108,-66.31,-58.99531071,-96.51,-21
109,-68.25,-59.72677964,-95.89,-26.8
110,-58.27,-60.57910167,-84.84,-18.4
111,-63.94,-60.34819151,-92.71,-20.8
112,-59.49,-60.70737236,-84.88,-21.4
113,-54.36,-60.58563512,-80.47,-15.2
114,-66.43,-59.96307161,-91.92,-28.2
115,-66.72,-60.60976445,-91.73,-29.2
116,-61.26,-61.220788,-91.3,-16.2
117,-66.41,-61.2247092,-98.41,-18.4
118,-64.79,-61.74323828,-94.38,-20.4
119,-60.88,-62.04791445,-87.06,-21.6
120,-55.97,-61.93112301,-81.68,-17.4
121,-57.28,-61.33501071,-87.87,-11.4
122,-61.09,-60.92950964,-93.01,-13.2
123,-65.27,-60.94555867,-90.51,-27.4
124,-67.87,-61.37800281,-96.99,-24.2
125,-58.39,-62.02720253,-76.51,-31.2
126,-54.34,-61.66348227,-81.36,-13.8
127,-64.96,-60.93113405,-95.6,-19
128,-61.99,-61.33402064,-93.59,-14.6
129,-62.43,-61.39961858,-93.65,-15.6
130,-55.73,-61.50265672,-81.54,-17
131,-65.67,-60.92539105,-93.58,-23.8
132,-62.98,-61.39985194,-90.43,-21.8
133,-60.42,-61.55786675,-90.16,-15.8
134,-61.24,-61.44408007,-88.59,-20.2
135,-56.36,-61.42367207,-86.21,-11.6
136,-63.38,-60.91730486,-98.03,-11.4
137,-67.38,-61.16357437,-98.83,-20.2
138,-59.01,-61.78521694,-92.09,-9.4
139,-62.65,-61.50769524,-91.49,-19.4
140,-56.06,-61.62192572,-81.97,-17.2
141,-56.9,-61.06573315,-86.69,-12.2
142,-65.27,-60.64915983,-96.25,-18.8
143,-51.24,-61.11124385,-76.33,-13.6
144,-61.98,-60.12411946,-89.71,-20.4
145,-64.38,-60.30970752,-94.36,-19.4
146,-53.33,-60.71673677,-71.15,-26.6
147,-54.38,-59.97806309,-82.36,-12.4
148,-51.34,-59.41825678,-79.3,-9.4
149,-53.51,-58.6104311,-76.11,-19.6
150,-49.53,-58.10038799,-65.89,-25
151,-62.6,-57.24334919,-91.01,-20
152,-60.37,-57.77901427,-92.22,-12.6
153,-62.42,-58.03811285,-94.96,-13.6
154,-59.65,-58.47630156,-89.28,-15.2
155,-55.55,-58.59367141,-86.58,-9
156,-53.04,-58.28930426,-76.26,-18.2
157,-64.31,-57.76437384,-97.32,-14.8
158,-63.61,-58.41893645,-97.08,-13.4
159,-56.56,-58.93804281,-86.14,-12.2
160,-47.93,-58.70023853,-64.55,-23
161,-61.24,-57.62321468,-88.34,-20.6
162,-59.66,-57.98489321,-85.17,-21.4
163,-64.21,-58.15240389,-92.75,-21.4
164,-65.84,-58.7581635,-94.93,-22.2
165,-58.44,-59.46634715,-82.46,-22.4
166,-49.57,-59.36371243,-64.61,-27
167,-61.02,-58.38434119,-89.96,-17.6
168,-60.87,-58.64790707,-90.52,-16.4
169,-66.04,-58.87011636,-94.21,-23.8
170,-52.78,-59.58710473,-77.97,-15
171,-48.03,-58.90639425,-63.51,-24.8
172,-63.04,-57.81875483,-88.13,-25.4
173,-64.75,-58.34087935,-98.32,-14.4
174,-55.65,-58.98179141,-80.62,-18.2
175,-60.43,-58.64861227,-91.52,-13.8
176,-58.87,-58.82675104,-77.98,-30.2
177,-54.32,-58.83107594,-80.14,-15.6
178,-49.02,-58.37996835,-62.5,-28.8
179,-65.93,-57.44397151,-90.96,-28.4
180,-59.56,-58.29257436,-90.06,-13.8
181,-62.29,-58.41931692,-92.48,-17
182,-61.19,-58.80638523,-87.85,-21.2
183,-60.54,-59.04474671,-91.04,-14.8
184,-46.43,-59.19427204,-67.12,-15.4
185,-54.68,-57.91784483,-74.47,-25
186,-55.8,-57.59406035,-74.2,-28.2
187,-52.48,-57.41465432,-74.27,-19.8
188,-51.28,-56.92118888,-72.26,-19.8
189,-55.69,-56.35707,-83.89,-13.4
190,-49.8,-56.290363,-64.73,-27.4
191,-58.08,-55.6413267,-82.53,-21.4
192,-61.82,-55.88519403,-90.9,-18.2
193,-62.59,-56.47867462,-87.38,-25.4
194,-55.25,-57.08980716,-77.82,-21.4
195,-56.46,-56.90582645,-82.11,-18
196,-59.84,-56.8612438,-88.41,-17
197,-68.15,-57.15911942,-98.38,-22.8
198,-49.48,-58.25820748,-74.46,-12
199,-56.13,-57.38038673,-84.34,-13.8
200,-62.11,-57.25534806,-81.52,-33
201,-66.15,-57.74081325,-96.11,-21.2
202,-60.92,-58.58173193,-96.87,-7
203,-61.98,-58.81555873,-96.37,-10.4
204,-59.96,-59.13200286,-92.07,-11.8
205,-67.24,-59.21480257,-94.07,-27
206,-48.63,-60.01732232,-70.79,-15.4
207,-65.02,-58.87859009,-92.5,-23.8
208,-65.78,-59.49273108,-98.31,-17
209,-57.55,-60.12145797,-84.98,-16.4
210,-57.2,-59.86431217,-86.81,-12.8
211,-51.99,-59.59788096,-71.32,-23
212,-59.75,-58.83709286,-85.72,-20.8
213,-66.3,-58.92838357,-94.5,-24
214,-63.22,-59.66554522,-90.97,-21.6
215,-50.4,-60.02099069,-68.27,-23.6
216,-62,-59.05889163,-84.53,-28.2
217,-64.24,-59.35300246,-95.61,-17.2
218,-50.2,-59.84170222,-69.27,-21.6
219,-44.81,-58.87753199,-61.36,-20
220,-59.06,-57.4707788,-91.37,-10.6
221,-54.66,-57.62970092,-79.5,-17.4
222,-61.64,-57.33273082,-81.8,-31.4
223,-64.65,-57.76345774,-97.75,-15
224,-47.02,-58.45211197,-54.37,-36
225,-65.23,-57.30890077,-99.65,-13.6
226,-50.8,-58.10101069,-73.73,-16.4
227,-55.36,-57.37090962,-80.14,-18.2
228,-57.27,-57.16981866,-81.98,-20.2
229,-58.23,-57.1798368,-85.58,-17.2
230,-57.7,-57.28485312,-80.83,-23
231,-63.3,-57.3263678,-99.11,-9.6
232,-60.32,-57.92373102,-86.66,-20.8
233,-61.65,-58.16335792,-92.88,-14.8
234,-55.12,-58.51202213,-76.67,-22.8
235,-64.66,-58.17281992,-99.36,-12.6
236,-60.58,-58.82153792,-88.97,-18
237,-55.57,-58.99738413,-84.21,-12.6
238,-56.83,-58.65464572,-78.71,-24
239,-55.47,-58.47218115,-86.05,-9.6
240,-60.7,-58.17196303,-93.7,-11.2
241,-54.64,-58.42476673,-78.79,-18.4
242,-60.53,-58.04629006,-89.41,-17.2
243,-53.86,-58.29466105,-81.63,-12.2
244,-52.89,-57.85119495,-77.49,-16
245,-60.32,-57.35507545,-78.67,-32.8
246,-51.92,-57.65156791,-76.4,-15.2
247,-51.36,-57.07841112,-66,-29.4
248,-61.01,-56.50657,-96.48,-7.8
249,-61.83,-56.956913,-91.98,-16.6
250,-63.74,-57.4442217,-94.36,-17.8
251,-54.28,-58.07379953,-80.2,-15.4
252,-64.43,-57.69441958,-96.58,-16.2
253,-43.88,-58.36797762,-63.26,-14.8
254,-62.79,-56.91917986,-93.06,-17.4
255,-52.38,-57.50626187,-69.03,-27.4
256,-59.2,-56.99363569,-84.26,-21.6
257,-51.92,-57.21427212,-67.06,-29.2
258,-63.67,-56.68484491,-98.39,-11.6
259,-60.99,-57.38336042,-87.78,-20.8
260,-63.82,-57.74402437,-89.69,-25
261,-65.05,-58.35162194,-98.82,-14.4
262,-64.77,-59.02145974,-94.75,-19.8
263,-51.8,-59.59631377,-79.14,-10.8
264,-64.66,-58.81668239,-97.77,-15
265,-55.91,-59.40101415,-88.25,-7.4
266,-64.09,-59.05191274,-96.42,-15.6
267,-53.73,-59.55572146,-77.96,-17.4
268,-57.74,-58.97314932,-86.5,-14.6
269,-62.75,-58.84983439,-96.18,-12.6
270,-58.06,-59.23985095,-88.1,-13
271,-59.43,-59.12186585,-93.58,-8.2
272,-60.39,-59.15267927,-90.12,-15.8
273,-66.37,-59.27641134,-98.61,-18
274,-61.12,-59.98577021,-88.67,-19.8
275,-60.59,-60.09919319,-93.25,-11.6
276,-67.55,-60.14827387,-98.99,-20.4
277,-59.26,-60.88844648,-90.5,-12.4
278,-63.87,-60.72560183,-97.39,-13.6
279,-63.15,-61.04004165,-97.91,-11
280,-63.42,-61.25103748,-92.63,-19.6
281,-61.81,-61.46793374,-86.35,-25
282,-55.33,-61.50214036,-84.08,-12.2
283,-56.24,-60.88492633,-79.6,-21.2
284,-47.68,-60.42043369,-64.67,-22.2
285,-49.7,-59.14639032,-71.76,-16.6
286,-62.48,-58.20175129,-91.46,-19
287,-52.02,-58.62957616,-75.76,-16.4
288,-59.74,-57.96861855,-90.36,-13.8
289,-53.31,-58.14575669,-77.38,-17.2
290,-46.42,-57.66218102,-63.36,-21
291,-61.61,-56.53796292,-94.02,-13
292,-58.86,-57.04516663,-89.7,-12.6
293,-55.24,-57.22664997,-82.34,-14.6
294,-61.5,-57.02798497,-89.3,-19.8
295,-43.27,-57.47518647,-53.85,-27.4
296,-61.47,-56.05466782,-85.25,-25.8
297,-63.93,-56.59620104,-93.89,-19
298,-58.89,-57.32958094,-89.88,-12.4
299,-63.12,-57.48562284,-95.2,-15
300,-48.83,-58.04906056,-72.58,-13.2
301,-62.63,-57.1271545,-95.44,-13.4
302,-54.66,-57.67743905,-80.16,-16.4
303,-60.54,-57.37569515,-89.44,-17.2
304,-60.15,-57.69212563,-93.85,-9.6
305,-57.29,-57.93791307,-85.48,-15
306,-60.67,-57.87312176,-82.72,-27.6
307,-60.93,-58.15280959,-78.88,-34
308,-58.36,-58.43052863,-82.73,-21.8
309,-63.99,-58.42347577,-94.12,-18.8
310,-61.83,-58.98012819,-93.04,-15
311,-64.35,-59.26511537,-96.98,-15.4
312,-58.32,-59.77360383,-84.26,-19.4
313,-63.18,-59.62824345,-93.83,-17.2
314,-66.52,-59.9834191,-94.47,-24.6
315,-61.71,-60.63707719,-87.26,-23.4
316,-67.17,-60.74436947,-99.14,-19.2
317,-45.79,-61.38693253,-67.25,-13.6
318,-66.57,-59.82723927,-98.54,-18.6
319,-58.57,-60.50151535,-87.22,-15.6
320,-53.5,-60.30836381,-75.3,-20.8
321,-61.44,-59.62752743,-83.46,-28.4
322,-55.51,-59.80877469,-85.98,-9.8
323,-65.94,-59.37889722,-96.44,-20.2
324,-58.01,-60.0350075,-81.61,-22.6
325,-57.8,-59.83250675,-80.07,-24.4
326,-55.18,-59.62925607,-77.44,-21.8
327,-59.11,-59.18433047,-85.44,-19.6
328,-57.4,-59.17689742,-85.53,-15.2
329,-65.25,-58.99920768,-91.14,-26.4
330,-59.31,-59.62428691,-91.39,-11.2
331,-54.5,-59.59285822,-80.03,-16.2
332,-57.52,-59.0835724,-81.47,-21.6
333,-51.28,-58.92721516,-73.6,-17.8
334,-48.2,-58.16249364,-64.07,-24.4
335,-64.51,-57.16624428,-93.78,-20.6
336,-60.02,-57.90061985,-88.17,-17.8
337,-60.64,-58.11255786,-81.59,-29.2
338,-65.85,-58.36530208,-92.02,-26.6
339,-65,-59.11377187,-99.4,-13.4
340,-64.08,-59.70239468,-95.74,-16.6
341,-47,-60.14015521,-59.66,-28
342,-51.3,-58.82613969,-75.09,-15.6
343,-65.03,-58.07352572,-91.59,-25.2
344,-48.94,-58.76917315,-66.24,-23
345,-63.88,-57.78625584,-93.26,-19.8
346,-68.94,-58.39563025,-98.1,-25.2
347,-47.84,-59.45006723,-65.74,-21
348,-61.68,-58.2890605,-87.86,-22.4
349,-62.74,-58.62815445,-90.57,-21
350,-49.13,-59.03933901,-58.95,-34.4
351,-43.18,-58.04840511,-58.23,-20.6
352,-60.09,-56.5615646,-89.35,-16.2
353,-64.16,-56.91440814,-86.94,-30
354,-47.71,-57.63896732,-67.51,-18
355,-65.73,-56.64607059,-96.61,-19.4
356,-51.16,-57.55446353,-73.81,-17.2
357,-58.58,-56.91501718,-92.17,-8.2
358,-59.56,-57.08151546,-89.01,-15.4
359,-61.38,-57.32936391,-86.04,-24.4
360,-58.71,-57.73442752,-85.32,-18.8
361,-65.39,-57.83198477,-98.98,-15
362,-51.95,-58.58778629,-74.72,-17.8
363,-57.18,-57.92400766,-88.76,-9.8
364,-57.84,-57.8496069,-88.13,-12.4
365,-62.15,-57.84864621,-94.51,-13.6
366,-57.45,-58.27878159,-85.35,-15.6
367,-61.43,-58.19590343,-91.45,-16.4
368,-54.5,-58.51931309,-70.71,-30.2
369,-60.35,-58.11738178,-88.05,-18.8
370,-62.71,-58.3406436,-92.92,-17.4
371,-60.1,-58.77757924,-89.23,-16.4
372,-59.05,-58.90982132,-84.69,-20.6
373,-63.74,-58.92383918,-98.91,-11
374,-64.16,-59.40545527,-94.81,-18.2
375,-54.31,-59.88090974,-79.58,-16.4
376,-61.37,-59.32381877,-86.81,-23.2
377,-55.91,-59.52843689,-81.85,-17
378,-49.34,-59.1665932,-62.91,-29
379,-52.17,-58.18393388,-76.95,-15
380,-67.47,-57.58254049,-95.51,-25.4
381,-66.32,-58.57128644,-98.53,-18
382,-62.86,-59.3461578,-91.97,-19.2
383,-57.35,-59.69754202,-86.26,-14
384,-54.21,-59.46278782,-81.28,-13.6
385,-52.67,-58.93750904,-80.32,-11.2
386,-58.39,-58.31075813,-87.18,-15.2
387,-54.16,-58.31868232,-78.8,-17.2
388,-64.59,-57.90281409,-92.46,-22.8
389,-63.77,-58.57153268,-92.01,-21.4
390,-64.85,-59.09137941,-98.48,-14.4
391,-61.49,-59.66724147,-80.88,-32.4
392,-61.02,-59.84951732,-90.1,-17.4
393,-50.79,-59.96656559,-66.78,-26.8
394,-55.66,-59.04890903,-81.57,-16.8
395,-60.98,-58.71001813,-95.63,-9
396,-62.04,-58.93701632,-93,-15.6
397,-60.42,-59.24731468,-83.76,-25.4
398,-58.62,-59.36458322,-80.77,-25.4
399,-51.48,-59.29012489,-67.01,-28.2
400,-68.94,-58.5091124,-96.64,-27.4
401,-62.76,-59.55220116,-95.66,-13.4
402,-60.6,-59.87298105,-86.07,-22.4
403,-62.82,-59.94568294,-95.63,-13.6
404,-59.9,-60.23311465,-93.43,-9.6
405,-62,-60.19980318,-94.79,-12.8
406,-57.04,-60.37982287,-82.8,-18.4
407,-63.79,-60.04584058,-91.64,-22
408,-56.29,-60.42025652,-87.42,-9.6
409,-61.85,-60.00723087,-98.02,-7.6
410,-60.65,-60.19150778,-94.69,-9.6
411,-52.72,-60.237357,-77.6,-15.4
412,-56.57,-59.4856213,-81.22,-19.6
413,-64.49,-59.19405917,-94.28,-19.8
414,-50.71,-59.72365326,-77.85,-10
415,-68.09,-58.82228793,-94.96,-27.8
416,-56.56,-59.74905914,-81.6,-19
417,-51.84,-59.43015322,-69.2,-25.8
418,-71.46,-58.6711379,-98.57,-30.8
419,-55.82,-59.95002411,-86.63,-9.6
420,-62.83,-59.5370217,-92.71,-18
421,-57.79,-59.86631953,-83.11,-19.8
422,-48.99,-59.65868758,-74.85,-10.2
423,-62.98,-58.59181882,-94.71,-15.4
424,-54.02,-59.03063694,-66.57,-35.2
425,-61.48,-58.52957324,-87.93,-21.8
426,-60.58,-58.82461592,-86.17,-22.2
427,-62.95,-59.00015433,-89.58,-23
428,-54.54,-59.39513889,-86.11,-7.2
429,-52.74,-58.90962501,-77.63,-15.4
430,-55.62,-58.2926625,-75.1,-26.4
431,-67.64,-58.02539625,-98.47,-21.4
432,-68.51,-58.98685663,-96.98,-25.8
433,-63.23,-59.93917097,-84.44,-31.4
434,-53.53,-60.26825387,-76.69,-18.8
435,-54.53,-59.59442848,-78.09,-19.2
436,-53.03,-59.08798563,-76.38,-18
437,-47.85,-58.48218707,-65.75,-21
438,-58.26,-57.41896836,-78.83,-27.4
439,-62.7,-57.50307153,-87.3,-25.8
440,-56.27,-58.02276437,-81.92,-17.8
441,-60,-57.84748794,-85.06,-22.4
442,-60.38,-58.06273914,-95.83,-7.2
443,-61.79,-58.29446523,-88.72,-21.4
444,-53.8,-58.64401871,-78.86,-16.2
445,-49.6,-58.15961684,-75.2,-11.2
446,-67.85,-57.30365515,-97.75,-23
447,-57.72,-58.35828964,-88.73,-11.2
448,-51.67,-58.29446067,-78.91,-10.8
449,-61.65,-57.63201461,-94.74,-12
450,-52.49,-58.03381315,-78.82,-13
451,-63.85,-57.47943183,-92.41,-21
452,-55.13,-58.11648865,-85.75,-9.2
453,-53.49,-57.81783978,-71.82,-26
454,-63.69,-57.3850558,-93.76,-18.6
455,-61.64,-58.01555022,-86.74,-24
456,-63.94,-58.3779952,-93.9,-19
457,-61.88,-58.93419568,-96.06,-10.6
458,-58.53,-59.22877611,-90.88,-10
459,-48.23,-59.1588985,-63.72,-25
460,-54.62,-58.06600865,-79.43,-17.4
461,-56.49,-57.72140779,-85.88,-12.4
462,-56,-57.59826701,-83.74,-14.4
463,-54.49,-57.43844031,-72.68,-27.2
464,-59.48,-57.14359628,-86.87,-18.4
465,-63.21,-57.37723665,-86.56,-28.2
466,-44.59,-57.96051298,-55.92,-27.6
467,-58.25,-56.62346169,-84.29,-19.2
468,-61.48,-56.78611552,-91.26,-16.8
469,-68.43,-57.25550397,-98.71,-23
470,-38.69,-58.37295357,-44.35,-30.2
471,-47.61,-56.40465821,-65.36,-21
472,-50.52,-55.52519239,-72.6,-17.4
473,-59.56,-55.02467315,-86.21,-19.6
474,-54.87,-55.47820584,-78.25,-19.8
475,-62.32,-55.41738525,-90.93,-19.4
476,-47.9,-56.10764673,-65.7,-21.2
477,-57.87,-55.28688205,-86.85,-14.4
478,-58.68,-55.54519385,-85.8,-18
479,-57.02,-55.85867446,-83.17,-17.8
480,-64.72,-55.97480702,-89.06,-28.2
481,-58.47,-56.84932632,-85.84,-17.4
482,-61.47,-57.01139368,-94.04,-12.6
483,-57.78,-57.45725432,-86.84,-14.2
484,-53.38,-57.48952888,-75.23,-20.6
485,-53.22,-57.078576,-78.57,-15.2
486,-60.8,-56.6927184,-83.06,-27.4
487,-50.5,-57.10344656,-64.43,-29.6
488,-53.73,-56.4431019,-80.89,-13
489,-53.96,-56.17179171,-77.93,-18
490,-58.03,-55.95061254,-86.05,-16
491,-52.62,-56.15855129,-71.16,-24.8
492,-57.51,-55.80469616,-87.86,-12
493,-55.84,-55.97522654,-81.73,-17
494,-57.37,-55.96170389,-81.89,-20.6
495,-63.81,-56.1025335,-94.09,-18.4
496,-58.85,-56.87328015,-86.74,-17
497,-59.89,-57.07095213,-89.68,-15.2
498,-62.09,-57.35285692,-85.61,-26.8
499,-53.83,-57.82657123,-76.11,-20.4
500,-57.35,-57.42691411,-82.65,-19.4
